Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
11	2	2007	Bee Movie	150	126.631277	287.594577
7	24	2009	G-Force	150	119.43677	287.389685
11	21	2008	Bolt	150	114.053759	313.953759
3	30	2012	Wrath of the Titans	150	83.670083	301.970083
11	16	2007	Beowulf	150	82.195215	194.995215
6	28	2013	White House Down	150	73.103784	205.440387
2	12	2010	The Wolfman	150	62.189884	142.634358
3	11	2011	Mars Needs Moms	150	21.392758	39.549758
11	3	2006	Flushed Away	149	64.665672	177.665672
6	8	2012	Madagascar 3: Europe's Most Wanted	145	216.391482	746.921271
12	16	2011	Mission: Impossible - Ghost Protocol	145	209.397903	694.71323
6	16	1999	Tarzan	145	171.091819	448.191819
3	7	2014	Mr. Peabody & Sherman	145	110.643022	268.943022
11	21	2012	Rise of the Guardians	145	103.412758	306.900902
4	8	2005	Sahara	145	68.671925	121.671925
6	13	2014	How to Train Your Dragon 2	145	54.50761	79.30761
11	22	2002	Die Another Day	142	160.942139	431.942139
5	8	2009	Star Trek	140	257.730019	385.680446
7	1	1998	Armageddon	140	201.578182	554.6
7	3	2002	Men in Black 2	140	190.418803	441.767803
7	22	2011	Captain America: The First Avenger	140	176.654505	370.569776
7	10	1998	Lethal Weapon 4	140	130.444603	285.4
3	27	2013	G.I. Joe: Retaliation	140	122.52306	371.92306
12	5	2003	The Last Samurai	140	111.110575	456.810575
12	21	2005	Fun With Dick And Jane	140	110.55	201.798116
5	3	2002	Spider-Man	139	403.706375	821.565375
3	6	2009	Watchmen	138	107.509799	184.068357
7	29	2005	Stealth	138	32.116746	76.416746
6	13	2008	The Incredible Hulk	137.5	134.806913	263.417913
6	20	2003	Hulk	137	132.177234	245.229234
7	11	2001	Final Fantasy: The Spirits Within	137	32.13183	85.13183
11	16	2012	The Twilight Saga: Breaking Dawn, Part 2	136.2	292.324737	832.660037
3	22	2013	The Croods	135	187.168425	573.068425
11	19	1999	The World is Not Enough	135	126.93066	361.73066
3	4	2011	Rango	135	123.257581	245.504574
11	14	2003	Master and Commander: The Far Side of the World	135	93.926386	212.912137
7	17	2013	Turbo	135	83.02813	283.82813
11	18	2011	Happy Feet Two	135	64.006466	157.956466
7	28	2006	Miami Vice	135	63.478838	163.818556
6	29	2005	War of the Worlds	132	234.280354	606.836535
11	22	2013	The Hunger Games: Catching Fire	130	424.668047	857.668047
6	4	2004	Harry Potter and the Prisoner of Azkaban	130	249.538952	796.688549
8	3	2007	The Bourne Ultimatum	130	227.47107	442.161562
