Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
10	7	1994	The Specialist	45	57.362581	57.362581
8	16	1996	Tin Cup	45	53.854588	75.854588
11	23	2005	Yours, Mine and Ours	45	53.359917	72.359917
5	13	2005	Kicking and Screaming	45	52.842724	55.842724
4	29	2005	The Hitchhiker's Guide to the Galaxy	45	51.019112	104.019112
9	21	2007	Resident Evil: Extinction	45	50.648679	146.16292
12	25	2004	Fat Albert	45	48.114556	48.563556
7	6	2012	Savages	45	47.3231	79.020056
9	30	1994	The River Wild	45	46.815	94.215
5	23	2014	Blended	45	40.593829	47.093829
1	13	2006	Last Holiday	45	38.399961	43.343247
3	3	2006	16 Blocks	45	36.895141	65.595141
7	14	1995	The Indian in the Cupboard	45	35.627222	35.627222
9	10	2004	Cellular	45	32.00362	61.475984
7	28	2006	The Ant Bully	45	28.142535	49.610898
7	18	2003	Johnny English	45	28.013509	163.126676
12	14	1984	Dune	45	27.447471	27.447471
7	31	2009	Aliens in the Attic	45	25.200412	59.551283
9	14	2007	Across the Universe	45	24.343673	29.367143
12	26	2008	Revolutionary Road	45	22.91148	79.56496
8	29	2008	Babylon A.D.	45	22.532572	70.216497
11	4	1994	Frankenstein	45	22.006296	112.006296
10	4	1996	The Glimmer Man	45	20.404841	36.404841
7	17	1996	Multiplicity	45	20.133326	20.133326
1	19	2001	The Pledge	45	19.71993	29.406132
12	16	2005	The Producers: The Movie Musical	45	19.398532	32.952995
6	7	1996	The Phantom	45	17.220599	17.220599
7	1	2005	Rebound	45	16.809014	17.492014
2	19	2010	The Ghost Writer	45	15.541549	65.532491
12	22	2000	All the Pretty Horses	45	15.527125	18.120267
9	5	2008	Bangkok Dangerous	45	15.298133	46.598133
12	20	1995	Nixon	45	13.668249	34.668249
9	21	2012	Dredd	45	13.414714	40.868994
1	30	1998	Deep Rising	45	11.203026	11.203026
10	21	2011	Johnny English Reborn	45	8.30597	164.53966
9	26	2008	Miracle at St. Anna	45	7.916887	9.110458
4	5	2002	Big Trouble	45	7.262288	8.488871
12	21	2006	Man cheng jin dai huang jin jia	45	6.566773	75.566773
11	16	2007	Love in the Time of Cholera	45	4.617608	31.077418
12	25	2002	Pinocchio	45	3.681811	31.681811
1	31	1997	Shadow Conspiracy	45	2.15454	2.15454
10	12	2012	Argo	44.5	136.025503	221.300694
8	6	1993	The Fugitive	44	183.87576	353.715317
5	22	1985	Rambo: First Blood Part II	44	150.415432	300.4
10	18	1996	Sleepers	44	53.300852	165.600852
7	30	2010	Charlie St. Cloud	44	31.206263	48.478084
2	2	1996	The Juror	44	22.730924	22.730924
11	19	1980	Heaven's Gate	44	3.484331	3.484331
6	28	2013	The Heat	43	159.581587	230.781587
12	19	2000	Finding Forrester	43	51.768623	80.013623
4	14	2000	28 Days	43	37.035515	62.063972
5	13	2005	Danny the Dog	43	24.537621	49.037621
4	12	2002	The Sweetest Thing	43	24.430272	44.633441
1	28	2011	The Mechanic	42.5	29.121498	76.347393
6	30	1993	The Firm	42	158.340892	270.340892
5	28	1999	Notting Hill	42	116.089678	363.728226
6	21	2000	Chicken Run	42	106.793915	227.793915
1	16	2004	Along Came Polly	42	88.073507	173.04441
7	1	1992	Boomerang	42	70.052444	131.052444
7	10	2009	Brüno	42	60.05453	130.788243
6	12	1963	Cleopatra	42	57	71
10	12	2012	Here Comes the Boom	42	45.290318	73.239258
4	5	2002	High Crimes	42	41.543207	63.7811
11	15	1996	The Mirror Has Two Faces	42	41.267469	41.267469
3	11	2011	Red Riding Hood	42	37.662162	90.300442
1	25	2002	The Mothman Prophecies	42	35.228696	56.438555
7	14	1989	License to Kill	42	34.667015	156.167015
1	27	2012	One for the Money	42	26.414527	36.197221
3	9	2001	15 Minutes	42	24.375436	56.331864
9	16	2005	Lord of War	42	24.149632	62.142629
5	28	1993	Super Mario Bros.	42	20.844907	20.844907
10	2	1992	Hero	42	19.487173	66.787173
12	3	2010	The Warrior's Way	42	5.66634	8.514325
4	18	1997	McHale's Navy	42	4.40842	4.40842
5	28	2010	Micmacs	42	1.259693	11.756922
12	31	2006	Les Bronzés 3: amis pour la vie	42	0	83.833602
11	8	2002	8 Mile	41	116.724075	242.924075
5	11	2001	A Knight's Tale	41	56.083966	100.622586
8	22	2003	The Medallion	41	22.108977	22.108977
8	6	1999	The Sixth Sense	40	293.506292	672.806292
7	15	2005	The Wedding Crashers	40	209.218368	283.218368
6	11	2010	The Karate Kid	40	176.591618	359.091618
6	19	2009	The Proposal	40	163.958031	314.709717
12	13	2013	American Hustle	40	150.117807	248.961826
12	25	2003	Cheaper by the Dozen	40	138.614544	189.714544
12	25	2013	Lone Survivor	40	125.095601	136.195601
11	22	1989	Back to the Future Part II	40	118.450002	332
9	24	1999	Double Jeopardy	40	116.735231	177.835231
7	25	2003	Spy Kids 3-D: Game Over	40	111.760631	167.851995
7	24	1996	A Time to Kill	40	108.766007	152.266007
7	1	1992	A League of Their Own	40	107.533925	132.440066
10	1	2010	The Social Network	40	96.962694	224.922135
4	12	2013	42	40	95.020213	95.020213
8	7	2009	Julie & Julia	40	94.125426	126.646119
2	6	2009	He's Just Not That Into You	40	93.953653	178.390243
6	22	1984	The Karate Kid	40	90.815558	90.815558
4	14	2006	Scary Movie 4	40	90.71062	178.71062
2	4	2000	Scream 3	40	89.138076	161.838076
5	24	1990	Back to the Future Part III	40	87.666629	243.7
4	25	2014	The Other Woman	40	82.762988	180.262988
11	13	1992	Bram Stoker's Dracula	40	82.52279	215.862692
2	17	2006	Eight Below	40	81.612565	120.612565
12	24	1999	The Talented Mr. Ripley	40	81.292135	128.792135
9	25	1992	The Last of the Mohicans	40	75.505856	75.505856
10	29	2004	Ray	40	75.305995	124.823094
4	1	2005	Sin City	40	74.10382	158.75382
3	20	2009	I Love You, Man	40	71.440011	91.729503
11	9	2001	Shallow Hal	40	70.836296	70.836296
12	20	1991	JFK	40	70.405498	205.4
1	27	2006	Big Momma's House 2	40	70.165972	137.047376
3	2	2001	The Mexican	40	66.808615	145.23825
8	28	2009	The Final Destination	40	66.4777	187.384627
4	17	2009	17 Again	40	64.167069	139.474906
2	18	2011	Unknown	40	63.686397	136.123083
6	4	2010	Get Him to the Greek	40	61.153526	91.455875
11	30	2001	Behind Enemy Lines	40	58.855732	58.855732
3	18	2011	The Lincoln Lawyer	40	58.0092	87.145086
10	15	2004	Shall We Dance?	40	57.887882	118.097882
2	15	2013	Escape From Planet Earth	40	57.012977	74.123914
7	10	1998	Small Soldiers	40	55.143823	71.743823
7	31	1997	Spawn	40	54.979992	87.949859
1	25	2002	The Count of Monte Cristo	40	54.228104	75.38909
10	20	2006	The Prestige	40	53.089891	107.896006
6	16	2006	The Lake House	40	52.330111	114.830111
7	9	2010	Predators	40	52.000688	127.234389
7	31	1987	The Living Daylights	40	51.185	191.2
12	8	2006	Apocalypto	40	50.866635	121.032272
2	14	2007	Music and Lyrics	40	50.572589	145.021477
6	18	1986	Legal Eagles	40	49.851591	49.851591
3	12	2004	Secret Window	40	47.958031	92.111551
8	12	2005	The Skeleton Key	40	47.907715	92.256918
5	2	2008	Made of Honor	40	46.012734	106.548738
11	21	1997	The Rainmaker	40	45.916769	45.916769
2	7	1992	Medicine Man	40	44.94824	44.94824
12	12	1997	Amistad	40	44.229441	58.267
8	12	2011	Final Destination 5	40	42.587643	157.887643
4	8	2005	Fever Pitch	40	42.071069	50.071069
12	21	1994	Ri¢hie Ri¢h	40	38.087756	38.087756
8	11	2000	Autumn in New York	40	37.752931	90.717684
5	30	2014	A Million Ways to Die in The West	40	37.470175	64.261163
3	18	2011	Paul	40	37.412945	100.179814
12	19	2012	The Guilt Trip	40	37.134215	37.134215
8	26	2011	Colombiana	40	36.665854	71.698079
2	26	1999	8MM	40	36.443442	96.398826
2	18	2000	Hanging Up	40	36.037909	51.867723
3	1	1991	The Doors	40	34.416893	34.416893
8	20	1999	Mickey Blue Eyes	40	33.864342	53.864342
10	20	2000	Pay it Forward	40	33.508922	33.508922
3	21	2008	Drillbit Taylor	40	32.862104	49.686263
7	1	1994	The Shadow	40	31.8356	31.8356
11	10	2010	Morning Glory	40	31.011732	60.040974
11	9	2005	Get Rich or Die Tryin'	40	30.98185	46.437122
8	25	2000	The Art of War	40	30.199105	30.199105
8	11	2000	Bless the Child	40	29.374178	40.435694
11	23	2005	Rent	40	29.077547	31.67062
4	2	1999	The Out-of-Towners	40	28.54412	28.54412
8	23	1996	The Island of Dr. Moreau	40	27.682712	27.682712
9	7	2001	The Musketeer	40	27.053815	27.053815
2	29	2008	The Other Boleyn Girl	40	26.814957	77.714957
2	16	2001	Sweet November	40	25.288103	65.754228
4	5	2007	The Reaping	40	25.126214	62.226214
1	7	2011	Season of the Witch	40	24.827228	96.502347
6	3	1994	Renaissance Man	40	24.172899	24.172899
5	15	1998	Quest for Camelot	40	22.7725	38.1725
9	6	2002	City by the Sea	40	22.433915	22.433915
1	15	1999	At First Sight	40	22.365133	22.365133
1	16	2004	Torque	40	21.176322	46.176322
11	13	2009	The Fantastic Mr. Fox	40	21.002919	46.498922
9	22	1995	Showgirls	40	20.350754	37.750754
2	16	1996	City Hall	40	20.278055	20.278055
12	21	2012	The Impossible	40	19.019882	169.590606
3	9	2012	A Thousand Words	40	18.450127	18.450127
10	20	2006	Marie Antoinette	40	15.962471	60.862471
10	6	2000	Get Carter	40	14.967182	19.417182
4	21	1995	Kiss of Death	40	14.942422	14.942422
4	26	2002	Life, or Something Like It	40	14.448589	14.448589
5	15	1987	Ishtar	40	14.375181	14.375181
2	28	1992	Memoirs of an Invisible Man	40	14.358033	14.358033
10	23	2009	Amelia	40	14.279575	19.756077
10	23	2009	Cirque du Freak: The Vampire's Assistant	40	14.046595	34.372469
5	7	2004	New York Minute	40	14.018364	21.215882
3	12	1999	The Deep End of the Ocean	40	13.508635	13.508635
11	5	2004	Alfie	40	13.395939	35.195939
8	30	2002	FearDotCom	40	13.208023	13.208023
11	7	2008	Soul Men	40	12.082391	12.082391
8	20	1999	Universal Soldier II: The Return	40	10.447421	10.717421
9	25	2009	Pandorum	40	10.330853	17.033431
9	26	2003	Duplex	40	9.652	10.070651
8	16	2013	Paranoia	40	7.388654	7.388654
8	1	1980	Raise the Titanic	40	7	7
1	4	2002	Impostor	40	6.114237	6.114237
11	27	2002	Extreme Ops	40	4.835968	12.624471
4	6	2001	Just Visiting	40	4.777007	16.1722
7	20	2007	Sunshine	40	3.68856	32.03061
3	11	1994	The Hudsucker Proxy	40	2.816518	14.938149
7	1	1986	Pirates	40	1.641825	6.341825
12	12	2008	Delgo	40	0.91584	0.91584
10	13	2006	Alex Rider: Operation Stormbreaker	40	0.65921	9.351567
11	20	2009	Red Cliff	40	0.627047	119.627047
9	24	2004	The Last Shot	40	0.46373	0.46373
4	2	2010	The Warlords	40	0.129078	38.899792
3	16	2007	Nomad	40	0.079123	0.079123
8	14	2009	The Time Traveler's Wife	39	63.414846	98.666635
6	17	1983	Superman III	39	59.950623	59.950623
10	5	2012	Frankenweenie	39	35.287788	81.150788
3	29	1996	Sgt. Bilko	39	30.356589	37.956589
9	30	2005	Serenity	39	25.514517	38.514517
2	20	2004	Against the Ropes	39	5.881504	6.429865
6	22	2001	The Fast and the Furious	38	144.51231	206.51231
9	27	2002	Sweet Home Alabama	38	127.214072	182.365114
7	24	2009	The Ugly Truth	38	88.915214	205.230042
8	7	2002	Spy Kids 2: The Island of Lost Dreams	38	85.846296	119.721296
11	18	1994	Star Trek: Generations	38	75.671262	120
12	19	1997	Mouse Hunt	38	61.894591	61.894591
10	8	2010	Life as We Know It	38	53.374681	105.887837
12	29	1999	The Hurricane	38	50.699241	73.956241
9	6	2013	Riddick	38	42.025135	92.425135
3	23	2001	Heartbreakers	38	40.334024	57.753825
5	24	2002	Enough	38	39.177215	39.177215
2	6	2009	Push	38	31.811527	44.411527
9	20	2013	Rush	38	26.947624	95.224595
5	18	2001	Angel Eyes	38	24.044532	29.544532
12	21	2001	Joe Somebody	38	22.770864	24.51599
3	10	2000	The Ninth Gate	38	18.653746	58.394308
9	27	1996	Extreme Measures	38	17.378193	17.378193
9	7	2001	Rock Star	38	16.991902	19.317765
2	2	1996	White Squall	38	10.2293	10.2293
10	10	2008	City of Ember	38	7.871693	11.817059
10	31	1997	Switchback	38	6.504442	6.504442
11	30	2001	Texas Rangers	38	0.623374	0.623374
8	26	2008	Virgin Territory	38	0	5.473041
5	18	2012	What to Expect When You're Expecting	37.5	41.152203	80.652203
9	14	2012	The Master	37.5	16.247159	25.11674
10	4	2008	The Express	37.5	9.793406	9.808102
11	21	2008	Twilight	37	192.769854	397.923934
8	7	2013	We're the Millers	37	150.394119	270.000119
9	17	2010	The Town	37	92.186262	152.566881
9	23	2011	Dolphin Tale	37	72.286779	96.068724
9	12	2008	Burn After Reading	37	60.355347	163.415735
4	4	2008	Nim's Island	37	48.006762	94.081683
2	26	2010	Cop Out	37	44.875481	55.90991
1	28	2011	The Rite	37	33.047633	96.047633
7	18	2008	Space Chimps	37	30.105968	67.029956
12	17	1999	Magnolia	37	22.450975	48.446802
12	31	2009	Obitaemyy ostrov	36.5	0	15
2	11	2011	Gnomeo and Juliet	36	99.96767	193.737977
2	15	2002	John Q	36	71.026631	102.226631
9	17	1999	Blue Streak	36	68.20819	117.448157
10	7	1983	Never Say Never Again	36	55.5	160
3	26	2010	Hot Tub Time Machine	36	50.269859	63.209958
5	2	1997	Breakdown	36	50.159144	50.159144
2	25	2011	Hall Pass	36	45.060734	83.693266
4	4	2003	A Man Apart	36	26.5	43.797731
2	25	2000	Reindeer Games	36	23.360779	23.360779
12	24	1999	Snow Falling on Cedars	36	14.378353	14.378353
12	20	1996	Ghosts of Mississippi	36	13.052741	13.052741
10	24	1997	Gattaca	36	12.532777	12.532777
1	28	2000	Isn't She Great	36	2.954405	2.954405
5	6	2011	There Be Dragons	36	1.069334	4.02099
3	28	2003	Head of State	35.2	37.788228	38.283765
6	5	2009	The Hangover	35	277.322503	469.553471
11	20	2009	The Blind Side	35	255.959475	305.705795
6	23	1989	Batman	35	251.188924	411.348924
6	10	1999	Austin Powers: The Spy Who Shagged Me	35	206.040085	310.332636
12	22	2010	True Grit	35	171.243005	252.276928
5	15	1992	Lethal Weapon 3	35	144.731527	319.7
9	18	1998	Rush Hour	35	141.186864	245.3
2	8	2013	Identity Thief	35	134.50692	176.269721
6	30	2006	The Devil Wears Prada	35	124.74046	326.551094
7	8	2011	Horrible Bosses	35	117.538559	214.538559
3	30	2001	Spy Kids	35	112.692062	197.692062
12	13	2013	Saving Mr. Banks	35	83.299761	101.199761
12	7	1979	Star Trek: The Motion Picture	35	82.258456	139
3	21	2008	21	35	81.159365	157.852532
5	3	2008	What Happens in Vegas...	35	80.277646	218.535708
11	15	1991	Cape Fear	35	79.091969	182.291969
11	15	1996	The English Patient	35	78.716374	231.716374
3	25	2005	Guess Who	35	68.915888	102.115888
9	19	1997	L.A. Confidential	35	64.604977	110.604977
7	29	2005	Sky High	35	63.939454	81.627454
9	19	1997	In & Out	35	63.826569	83.226569
4	30	2010	A Nightmare on Elm Street	35	63.075011	117.729621
8	18	2000	The Cell	35	61.280963	85.911226
7	7	1995	Species	35	60.054449	113.354449
4	7	2006	The Benchwarmers	35	59.843754	65.063726
10	8	2010	Secretariat	35	59.699513	60.376247
3	13	1998	The Man in the Iron Mask	35	56.968169	56.968169
3	23	2007	TMNT	35	54.149098	96.096018
10	24	2003	Radio	35	52.333738	53.293628
11	25	2009	Old Dogs	35	49.49206	95.104304
11	18	1992	Malcolm X	35	48.16991	48.16991
7	29	2005	Must Love Dogs	35	43.894863	58.894863
7	3	2007	License to Wed	35	43.799818	70.187088
2	28	1997	Donnie Brasco	35	41.954997	65.303052
10	17	2008	Max Payne	35	40.687294	85.761789
3	15	2002	Resident Evil	35	40.119709	103.787401
3	26	2004	The Ladykillers	35	39.692139	77.392139
5	6	2011	Something Borrowed	35	39.046489	65.084116
12	1	2006	The Nativity Story	35	37.629831	46.432264
10	28	2011	In Time	35	37.553932	170.064664
4	23	2010	The Back-up Plan	35	37.490007	75.281179
11	17	2000	Bounce	35	36.805288	53.425292
12	3	2004	Closer	35	33.987757	115.476509
12	23	1994	Street Fighter	35	33.423	99.423
11	21	2001	Black Knight	35	33.422806	33.422806
7	22	2005	The Bad News Bears	35	32.868349	33.50062
12	27	2002	The Pianist	35	32.519322	120
5	6	2005	House of Wax	35	32.0648	70.0648
10	19	2001	From Hell	35	31.598308	68.712365
2	22	2002	Queen of the Damned	35	30.307804	30.307804
8	20	2010	Nanny McPhee and the Big Bang	35	29.197642	97.799865
1	25	2008	Untraceable	35	28.687835	52.649951
11	21	1990	Predator 2	35	28.317513	54.768418
9	23	2011	Abduction	35	28.087155	86.648359
12	5	1980	Flash Gordon	35	27.10796	27.10796
3	28	2008	Superhero Movie	35	26.63852	73.026302
2	12	1999	Blast from the Past	35	26.61362	26.61362
3	26	2004	Jersey Girl	35	25.266129	37.066129
11	21	1997	Midnight in the Garden of Good and Evil	35	25.078937	25.078937
11	9	2001	Heist	35	23.483357	28.906817
4	9	2004	Ella Enchanted	35	22.913677	22.913677
7	25	2008	The X-Files: I Want to Believe	35	20.982478	68.369434
8	24	2012	Premium Rush	35	20.275446	31.393201
1	18	2013	Broken City	35	19.701164	30.746765
8	19	2005	Valiant	35	19.478106	64.188387
2	23	2000	Wonder Boys	35	19.389454	33.422485
2	25	2005	Cursed	35	19.294901	25.114901
12	21	2007	Walk Hard: The Dewey Cox Story	35	18.317151	20.606053
9	20	2002	The Four Feathers	35	18.306166	29.882645
4	30	2010	Furry Vengeance	35	17.630465	39.340177
1	25	2013	Parker	35	17.616641	46.346651
9	17	2004	Wimbledon	35	16.862585	41.666476
9	15	2000	Bait	35	15.325127	15.471969
12	8	2000	Dungeons and Dragons	35	15.185241	33.771965
11	9	2007	Lions for Lambs	35	14.99807	63.211088
1	18	1991	Flight of the Intruder	35	14.47144	14.47144
5	27	2011	The Tree of Life	35	13.305665	62.305665
8	17	2001	American Outlaws	35	13.264986	13.264986
8	11	2006	Zoom	35	11.989328	12.506188
12	25	2001	The Shipping News	35	11.405825	24.405825
12	18	2009	The Young Victoria	35	11.001272	31.878891
3	28	2014	Sabotage	35	10.508518	18.376443
9	4	1998	Knock Off	35	10.319915	10.319915
9	11	2009	Whiteout	35	10.275638	12.254746
11	22	2006	The Fountain	35	10.14401	15.461638
12	5	2008	Punisher: War Zone	35	8.050977	10.157534
9	5	2003	The Order	35	7.659747	11.559747
11	10	2006	A Good Year	35	7.4593	42.064105
11	6	2002	Femme Fatale	35	6.630252	16.830252
5	2	1997	Warriors of Virtue	35	6.448817	6.448817
9	26	2003	Luther	35	5.781086	29.46519
1	21	2010	Biutiful	35	5.101237	25.101237
2	21	1992	Radio Flyer	35	4.651977	4.651977
4	16	1993	Bound by Honor	35	4.496583	4.496583
2	28	1997	Smilla's Sense of Snow	35	2.221994	2.221994
1	1	1980	Lion of the Desert	35	1.5	1.5
4	19	1996	Le hussard sur le toit	35	1.320043	1.320043
11	24	1999	Ride With the Devil	35	0.630779	0.630779
9	22	2006	Bandidas	35	0	18.4
12	31	2008	Black Water Transit	35	0	0
12	25	2011	The Darkest Hour	34.8	21.443494	62.831715
9	17	1993	The Age of Innocence	34	32.014993	32.014993
8	14	2009	Gake no ue no Ponyo	34	15.090399	205.312666
9	1	1999	Chill Factor	34	11.263966	11.263966
8	27	1999	The Astronaut's Wife	34	10.672566	10.672566
5	5	2000	I Dreamed of Africa	34	6.543194	6.543194
12	4	1981	Reds	33.5	50	50
12	11	1992	A Few Good Men	33	141.340178	236.5
6	2	2000	Big Momma's House	33	117.559438	173.559438
3	16	2001	Exit Wounds	33	51.758599	79.958599
7	27	2012	Step Up Revolution	33	35.074677	165.55229
8	18	2006	Snakes on a Plane	33	34.020814	62.020814
4	16	2004	The Punisher	33	33.66437	54.533774
9	8	2000	The Watcher	33	28.946615	47.267829
4	27	2012	Safe	33	17.14208	41.495213
3	14	2008	Doomsday	33	11.00877	21.621188
4	23	1999	Pushing Tin	33	8.408835	8.408835
5	12	2006	Goal! The Dream Begins	33	4.283255	27.610873
5	25	1983	Star Wars Ep. VI: Return of the Jedi	32.5	309.205079	572.7
5	13	2011	Bridesmaids	32.5	169.106725	289.263136
12	10	2008	The Reader	32.5	34.194407	113.01929
4	26	2013	The Big Wedding	32.5	21.819348	35.770721
2	24	2012	Wanderlust	32.5	17.288155	24.159934
11	7	2003	Elf	32	173.398518	222.124612
7	5	1996	Phenomenon	32	104.636382	152.036382
6	12	2013	This is the End	32	101.470202	126.294264
1	18	2002	Snow Dogs	32	81.150692	116.898028
6	16	2006	Nacho Libre	32	80.197993	99.296462
11	23	1988	Scrooged	32	60.328558	60.328558
8	27	2010	Takers	32	57.74472	70.587268
4	1	2011	Source Code	32	54.712227	140.428499
9	10	1999	Stigmata	32	50.041732	89.441732
11	10	2000	Men of Honor	32	48.814909	82.339483
9	2	2005	The Transporter 2	32	43.095856	88.978458
2	18	2011	Big Mommas: Like Father, Like Son	32	37.915414	83.915414
1	15	1993	Alive	32	36.29967	36.29967
2	23	2007	The Number 23	32	35.193167	77.593167
12	14	1979	1941	32	34.175	94.875
10	21	2005	Dreamer: Inspired by a True Story	32	33.022286	39.49836
9	23	2005	A History of Violence	32	31.493782	61.477797
3	15	2013	The Incredible Burt Wonderstone	32	22.537881	24.255957
2	10	1995	The Quick and the Dead	32	18.55246	18.55246
4	30	2004	Laws of Attraction	32	17.848322	29.948322
9	3	2010	Going the Distance	32	17.804299	39.990165
10	22	1999	Bringing Out The Dead	32	16.64021	16.64021
3	19	2010	Repo Men	32	13.942007	18.195238
9	14	2007	D-War	32	10.977721	79.915361
9	6	1996	Bogus	32	4.357406	4.357406
3	26	1997	Cats Don't Dance	32	3.588602	3.588602
12	8	1999	Cradle Will Rock	32	2.89997	2.89997
12	15	2006	The Good German	32	1.308696	1.308696
12	31	2004	George and the Dragon	32	0	0
8	15	1979	Apocalypse Now	31.5	78.8	78.8
11	2	2012	Flight	31	93.772375	161.772375
12	18	1985	Out of Africa	31	79.096868	258.21086
6	29	1979	Moonraker	31	70.3	210.3
7	18	1990	Arachnophobia	31	53.20818	53.20818
4	28	2000	Frequency	31	44.983704	68.079671
9	28	2001	Hearts in Atlantis	31	24.185781	30.885781
1	22	2010	Extraordinary Measures	31	12.482741	15.826984
10	20	1995	Get Shorty	30.25	72.021008	115.021008
6	8	1984	Ghostbusters	30	238.632124	291.632124
11	22	1995	Toy Story	30	191.780865	364.530148
12	27	2002	Chicago	30	170.687518	307.687518
6	25	1999	Big Daddy	30	163.479795	228.641283
8	10	2001	American Pie 2	30	145.09682	286.5
2	10	2012	The Vow	30	125.01403	197.61816
6	10	1994	Speed	30	121.248145	283.2
3	2	1990	The Hunt for Red October	30	120.709866	200.5
8	16	2013	Lee Daniels' The Butler	30	116.632095	151.513429
9	29	2000	Remember the Titans	30	115.654751	136.706683
8	14	2009	District 9	30	115.646235	215.196627
6	18	2004	Dodgeball: A True Underdog Story	30	114.326736	167.791704
11	22	1991	The Addams Family	30	113.502246	191.502246
11	10	1995	Ace Ventura: When Nature Calls	30	108.360063	212.4
8	3	2001	The Princess Diaries	30	108.244774	165.334774
3	5	1999	Analyze This	30	106.885658	176.885658
9	20	1996	The First Wives Club	30	105.489203	181.489203
12	15	2004	Million Dollar Baby	30	100.492203	232.016402
9	22	1995	Se7en	30	100.125643	328.125643
10	8	2003	Mystic River	30	90.135191	156.835191
11	10	1999	Pokemon: The First Movie	30	85.744662	163.644662
11	19	2004	SpongeBob SquarePants	30	85.416609	140.416609
12	4	2009	Up in the Air	30	83.823381	166.842739
6	25	2004	The Notebook	30	81.001787	102.276787
4	10	2009	Hannah Montana the Movie	30	79.576189	169.173206
11	17	2000	Rugrats in Paris	30	76.501438	103.284813
12	25	1991	The Prince of Tides	30	74.787599	74.787599
8	12	2005	Four Brothers	30	74.494381	92.494381
12	23	1994	Legends of the Fall	30	66.502573	160.502573
2	1	2013	Warm Bodies	30	66.380662	116.64361
12	13	2002	About Schmidt	30	65.005217	107.054484
1	17	2014	The Nut Job	30	64.251538	66.251538
2	16	2001	Down to Earth	30	64.172251	71.172251
8	4	1995	Babe	30	63.65891	246.1
4	18	2008	Forgetting Sarah Marshall	30	63.172463	105.173042
10	8	2004	Friday Night Lights	30	61.255921	61.95077
4	25	2008	Baby Mama	30	60.494212	64.391484
5	29	1998	Hope Floats	30	60.110313	81.529
1	9	2009	Bride Wars	30	58.71551	115.150424
8	20	2004	Without a Paddle	30	58.156435	65.12128
4	23	2004	13 Going On 30	30	57.139723	96.439723
5	20	2011	Midnight in Paris	30	56.816662	154.816662
10	5	2005	Wallace & Gromit: The Curse of the Were-Rabbit	30	56.068547	197.593152
9	16	2005	The Corpse Bride	30	53.359111	114.770654
5	14	2010	Letters to Juliet	30	53.032453	79.135982
4	6	2001	Blow	30	52.990775	83.282296
2	12	1999	Message in a Bottle	30	52.880016	52.880016
6	9	1989	Star Trek V: The Final Frontier	30	52.210049	70.2
7	3	2002	Like Mike	30	51.432423	62.432423
3	18	1994	Naked Gun 33 1/3: The Final Insult	30	51.041856	51.041856
12	7	2007	Atonement	30	50.980159	130.20029
5	24	1985	A View to a Kill	30	50.32796	152.62796
1	14	2005	Racing Stripes	30	49.772522	93.772522
9	22	1989	Black Rain	30	45.892212	45.892212
4	13	2012	The Three Stooges	30	44.338224	53.801644
7	21	2000	Pokemon 2000	30	43.746923	133.946923
8	6	2010	Step Up 3D	30	42.400223	165.889117
5	29	2009	Drag Me To Hell	30	42.100625	91.388487
4	13	2012	The Cabin in the Woods	30	42.073277	70.768144
9	19	2003	Secondhand Lions	30	42.070939	47.902566
11	10	2006	Stranger Than Fiction	30	40.43519	45.23519
4	8	2011	Hanna	30	40.259119	65.343694
8	16	2002	Blue Crush	30	40.11842	51.61842
10	19	2007	30 Days of Night	30	39.568996	80.276156
12	19	1986	Little Shop of Horrors	30	38.747385	38.747385
9	15	2006	Gridiron Gang	30	38.432823	41.457834
7	20	1988	Midnight Run	30	38.413606	81.613606
1	25	2008	Meet the Spartans	30	38.233676	84.646831
11	13	1987	The Running Man	30	38.122	38.122
9	13	2013	The Family	30	36.918811	51.078541
11	21	1997	Mortal Kombat: Annihilation	30	35.927406	51.327406
7	1	2011	Larry Crowne	30	35.608245	61.449135
10	18	2013	Carrie	30	35.266619	85.039274
4	1	2006	Take the Lead	30	34.742066	65.390493
11	24	2010	Love and Other Drugs	30	32.367005	102.719647
6	1	2001	What's the Worst That Could Happen?	30	32.267774	38.462071
2	8	2013	Side Effects	30	32.172757	60.288363
9	9	2009	9	30	31.749894	48.559999
4	27	2012	The Five-Year Engagement	30	28.700285	54.588202
4	2	2004	The Prince & Me	30	28.165882	29.356757
7	15	2011	Winnie the Pooh	30	26.692846	50.145607
5	15	1998	Bulworth	30	26.528684	29.203383
6	13	2003	Dumb and Dumberer: When Harry Met Lloyd	30	26.214846	26.214846
8	4	1995	Virtuosity	30	23.998226	23.998226
9	18	1998	One True Thing	30	23.337196	26.708196
2	4	2011	Sanctum	30	23.20931	104.283753
9	17	2004	Mr. 3000	30	21.800302	21.827296
11	19	2010	The Next Three Days	30	21.148651	67.255916
8	6	2004	Little Black Book	30	20.422207	21.758371
1	19	2005	Assault On Precinct 13	30	20.040895	36.040895
9	19	2008	Igor	30	19.528602	31.013349
10	4	2013	Runner Runner	30	19.316646	62.616646
2	6	1998	The Replacement Killers	30	19.035741	19.035741
3	3	2006	Ultraviolet	30	18.522064	20.722064
10	21	2005	North Country	30	18.324242	25.224242
8	19	2011	Fright Night	30	18.298649	40.520649
7	17	2002	Eight Legged Freaks	30	17.266505	36.722311
